Gender,Age,HeadCircumference,ShoulderWidth,ChestWidth,Belly,Waist,Hips,ArmLength,ShoulderToWaist,WaistToKnee,LegLength,TotalHeight
1.0,21.4,22.0,10.0,15.2,21.0,10.0,10.0,21.0,21.0,13.0,23.0,41
1.0,21.4,18.0,19.0,10.0,10.0,20.0,12.0,21.0,20.0,12.0,30.0,35
1.0,27.0,25.0,20.0,11.0,11.0,10.0,14.0,20.0,21.0,19.0,34.0,40
1.0,26.0,23.0,17.0,12.0,12.0,11.0,12.0,20.0,16.0,17.0,30.0,52
1.0,36.0,21.0,15.0,13.0,11.0,20.0,13.0,21.0,17.0,20.0,42.0,42
1.0,31.0,21.0,16.0,11.0,10.0,20.0,11.0,22.0,20.0,19.0,39.0,70
1.0,25.0,23.0,18.0,13.0,11.0,10.0,14.0,20.0,20.0,14.0,30.0,56
1.0,21.4,19.0,13.0,16.0,15.0,14.0,15.0,14.0,19.0,10.0,21.0,32
1.0,27.0,21.0,18.0,21.0,19.0,21.0,22.0,24.0,22.0,20.0,40.0,57
1.0,21.4,18.0,15.0,10.0,21.0,20.0,10.0,19.3,15.0,17.3,18.0,23
1.0,21.4,20.0,15.0,15.0,16.0,15.0,16.0,16.0,19.0,13.0,26.0,35
1.0,60.0,23.0,22.0,20.0,23.0,30.0,34.0,24.0,25.0,20.0,40.0,55
2.0,18.0,24.0,17.0,18.0,15.0,16.0,18.0,22.0,22.0,21.0,42.0,57
2.0,21.4,18.0,14.0,12.0,10.0,20.0,10.0,12.0,12.0,17.3,18.0,32
1.0,22.0,27.0,17.0,20.0,18.0,21.0,22.0,23.0,22.0,19.0,39.0,55
2.0,21.4,18.0,15.0,13.0,21.0,20.0,10.0,19.3,10.0,17.3,18.0,23
1.0,24.0,20.0,10.0,10.0,21.0,21.0,11.0,23.0,21.0,19.0,38.0,53
1.0,19.0,21.0,17.0,15.2,10.0,20.0,12.0,24.0,22.0,20.0,40.0,56
